sci_name	lat_min_fb	lat_max_fb
Acanthochromis_polyacanthus	-26	15
Acanthopagrus_latus	15	34
Acipenser_ruthenus	36	71
Alosa_alosa	20	61
Alosa_sapidissima	28	54
Amphiprion_ocellaris	-17	46
Anabas_testudineus	-10	28
Anarrhichthys_ocellatus	26	80
Anguilla_anguilla	8	75
Archocentrus_centrarchus	NA	NA
Astatotilapia_calliptera	-21	-13
Astyanax_mexicanus	24	36
Austrofundulus_limnaeus	NA	NA
Betta_splendens	8	22
Boleophthalmus_pectinirostris	NA	NA
Carassius_auratus	22	53
Chanos_chanos	-52	46
Cheilinus_undulatus	-23	30
Chelmon_rostratus	NA	NA
Clupea_harengus	33	80
Colossoma_macropomum	-35	-15
Coregonus_clupeaformis	41	72
Cottoperca_gobio	-57	-34
Cyclopterus_lumpus	32	80
Cynoglossus_semilaevis	NA	NA
Cyprinodon_tularosa	33	34
Cyprinodon_variegatus	0	45
Cyprinus_carpio	34	54
Danio_rerio	8	33
Denticeps_clupeoides	4	7
Echeneis_naucrates	-45	45
Electrophorus_electricus	NA	NA
Epinephelus_lanceolatus	-39	29
Erpetoichthys_calabaricus	NA	NA
Esox_lucius	37	72
Etheostoma_cragini	33	40
Etheostoma_spectabile	30	43
Fundulus_heteroclitus	28	52
Gadus_morhua	35	83
Gambusia_affinis	26	42
Gasterosteus_aculeatus	25	72
Girardinichthys_multiradiatus	19	21
Gouania_willdenowi	30	45
Gymnodraco_acuticeps	-78	-61
Haplochromis_burtoni	-9	-3
Hippocampus_comes	-10	15
Hippoglossus_hippoglossus	36	79
Hippoglossus_stenolepis	42	73
Hypomesus_transpacificus	38	73
Ictalurus_punctatus	25	55
Kryptolebias_marmoratus	3	31
Labrus_bergylta	27	64
Larimichthys_crocea	13	38
Lates_calcarifer	-26	49
Lepisosteus_oculatus	24	52
Mastacembelus_armatus	1	38
Maylandia_zebra	-15	-8
Megalobrama_amblycephala	23	32
Megalops_cyprinoides	-37	34
Melanotaenia_boesemani	-2	-1
Micropterus_dolomieu	33	50
Micropterus_salmoides	24	46
Monopterus_albus	-6	34
Morone_saxatilis	27	49
Mugil_cephalus	-57	62
Myripristis_murdjan	-35	30
Nematolebias_whitei	NA	NA
Neolamprologus_brichardi	-6	-3
Nothobranchius_furzeri	-23	-21
Notolabrus_celidotus	NA	NA
Notothenia_coriiceps	-78	-46
Oncorhynchus_gorbuscha	32	79
Oncorhynchus_keta	24	67
Oncorhynchus_kisutch	22	72
Oncorhynchus_mykiss	32	67
Oncorhynchus_nerka	42	72
Oncorhynchus_tshawytscha	27	71
Oreochromis_aureus	10	35
Oreochromis_niloticus	-5	32
Oryzias_latipes	10	55
Oryzias_melastigma	NA	NA
Pangasianodon_hypophthalmus	8	19
Paralichthys_olivaceus	1	62
Parambassis_ranga	1	38
Paramormyrops_kingsleyae	NA	NA
Perca_flavescens	30	66
Perca_fluviatilis	38	74
Periophthalmus_magnuspinnatus	NA	NA
Pimephales_promelas	29	61
Plectropomus_leopardus	-30	35
Poecilia_formosa	25	27
Poecilia_latipinna	16	40
Poecilia_mexicana	14	19
Poecilia_reticulata	2	14
Polyodon_spathula	29	49
Polypterus_senegalus	-2	16
Pseudochaenichthys_georgianus	-73	-53
Pundamilia_nyererei	-3	1
Pungitius_pungitius	35	82
Puntigrus_tetrazona	-3	6
Pygocentrus_nattereri	-34	9
Salarias_fasciatus	-23	30
Salmo_salar	37	72
Salmo_trutta	34	71
Salvelinus_alpinus	41	82
Salvelinus_namaycush	38	75
Sander_lucioperca	36	67
Scatophagus_argus	-33	35
Scleropages_formosus	NA	NA
Scophthalmus_maximus	30	70
Sebastes_umbrosus	25	37
Seriola_dumerili	-36	49
Seriola_lalandi	-57	55
Silurus_meridionalis	NA	NA
Simochromis_diagramma	-9	-3
Siniperca_chuatsi	34	53
Sinocyclocheilus_anshuiensis	NA	NA
Sinocyclocheilus_grahami	NA	NA
Sinocyclocheilus_rhinocerous	NA	NA
Solea_senegalensis	-16	47
Sparus_aurata	15	62
Sphaeramia_orbicularis	-27	31
Stegastes_partitus	-5	33
Syngnathus_acus	-35	71
Tachysurus_fulvidraco	15	55
Takifugu_rubripes	21	46
Thalassophryne_amazonica	NA	NA
Thunnus_albacares	-50	50
Thunnus_maccoyii	-60	-10
Toxotes_jaculatrix	NA	NA
Trematomus_bernacchii	-78	-61
Xiphias_gladius	-50	69
Xiphophorus_couchianus	NA	NA
Xiphophorus_hellerii	12	26
Xiphophorus_maculatus	17	23